data,new_confirmed_count,now_confirmed_count,cure,dead,total_confired_count
2020.02.22,23,34,0,0,34
2020.02.23,0,34,0,0,34
2020.02.24,0,31,3,0,34
2020.02.25,19,53,0,0,53
2020.02.26,4,57,0,0,57
2020.02.27,3,60,0,0,60
2020.02.28,0,60,0,0,60
2020.02.29,4,64,0,0,64
2020.03.01,5,68,0,1,69
2020.03.02,12,87,0,2,89
2020.03.03,17,97,3,6,106
2020.03.04,19,113,3,9,125
2020.03.05,36,142,8,11,161
2020.03.06,72,211,8,14,233
2020.03.07,112,318,10,17,345
2020.03.08,100,416,10,19,445
2020.03.09,127,540,10,22,572
2020.03.10,145,681,10,26,717
2020.03.11,293,969,10,31,1010
2020.03.12,312,1269,15,38,1322
2020.03.13,277,1187,41,36,1264
2020.03.14,414,1581,56,41,1678
2020.03.15,255,3381,56,62,3499
2020.03.16,860,4483,56,90,4629
2020.03.17,826,5741,56,97,5894
2020.03.18,2769,9089,106,150,9345
2020.03.19,5892,13824,121,205,14250
2020.03.20,5374,19217,147,260,19614
2020.03.21,5374,21618,147,278,22043
2020.03.22,6670,32130,178,409,32717
2020.03.23,10497,45602,178,552,46332
2020.03.24,10054,52394,178,696,53268
2020.03.25,12017,63981,378,926,65285
2020.03.26,14886,81626,680,1201,83507
2020.03.27,19253,99207,869,1581,101657
2020.03.28,20400,118146,961,2010,121117
2020.03.29,18500,134578,2661,2436,139675
2020.03.30,21692,152816,5595,2656,161367
2020.03.31,21371,174534,6043,3606,184183
2020.04.01,22741,193231,8434,4542,206207
2020.04.02,25508,221830,8861,5648,236339
2020.04.03,28048,254139,9445,6889,270473
2020.04.04,32467,288583,14997,8496,312076
2020.04.05,22768,307819,16848,9458,334125
2020.04.06,26676,333281,19313,10755,363349
2020.04.07,27178,359895,21571,12716,394182
2020.04.08,25493,387932,23292,14604,425828
2020.04.09,28506,421790,25139,16504,463433
2020.04.10,30108,452421,27744,18509,498674
2020.04.11,26272,480427,29444,20513,530384
2020.04.12,24751,505118,32091,22036,559245
2020.04.13,23570,526353,36948,23640,586941
2020.04.14,23691,546214,38562,25856,610632
2020.04.15,27511,564898,48105,28394,641397
2020.04.16,26826,583098,57256,34475,674829
2020.04.17,22566,612353,60510,37158,710021
2020.04.18,28962,631417,68269,39011,738697
2020.04.19,23704,652062,69956,40478,762496
2020.04.20,24747,675065,72015,42303,789383
2020.04.21,23577,696990,82973,45343,825306
2020.04.22,26248,713652,83910,47430,844992
2020.04.23,27457,742747,85021,49729,877497
2020.04.24,38958,771331,93275,51742,916348
2020.04.25,30256,785201,116167,54120,955488
2020.04.26,24409,810968,118735,55357,985060
2020.04.27,19882,810824,137591,56527,1004942
2020.04.28,24936,831100,140138,58640,1029878
2020.04.29,26768,850146,145320,61180,1056646
2020.04.30,36010,877117,151774,63765,1092656
2020.05.01,30282,899592,160173,65540,1125305
2020.05.02,25714,927734,161782,67228,1156744
2020.05.03,19299,938453,178219,68495,1185167
2020.05.04,21580,955872,184354,69476,1209702
2020.05.05,21757,963387,199151,72054,1234592
2020.05.06,19006,977250,205268,74121,1256639
2020.05.07,25936,996657,215580,76791,1289028
2020.05.08,26063,1018180,222008,78498,1318686
2020.05.09,20938,1029928,232869,79926,1342723
2020.05.10,17999,1043738,240853,80717,1365308
2020.05.11,14027,1039925,260188,81552,1381665
2020.05.12,20685,1042748,280509,83262,1406519
2020.05.13,18951,1034803,307755,85029,1427587
2020.05.14,23033,1050367,316244,86770,1453381
2020.05.15,23382,1071318,321348,88309,1480975
2020.05.16,19399,1076667,337563,89454,1503684
2020.05.17,18361,1090398,344805,90931,1526134
2020.05.18,6727,1094544,347225,91092,1532861
2020.05.19,22272,1103798,359137,92198,1555133
2020.05.20,18645,1118652,361419,93707,1573778
2020.05.21,23352,1130935,371077,95118,1597130
2020.05.22,30279,1147627,383099,96683,1627409
2020.05.23,23286,1149562,403315,97800,1650677
2020.05.24,21850,1126524,447211,98792,1672527
2020.05.25,17200,1138597,451749,99381,1689727
2020.05.26,21842,1143620,467962,99987,1711569
2020.05.27,19026,1149449,480321,100825,1730595
2020.05.28,19782,1157822,490262,102293,1750377
2020.05.29,22266,1169423,499768,103452,1772643
2020.05.30,25306,1173579,519736,104634,1797949
2020.05.31,24168,1180203,536234,105680,1822117
2020.06.01,20126,1135791,600150,106302,1842243
2020.06.02,20636,1140025,615719,107135,1862879
2020.06.03,24829,1132803,646614,108291,1887708
2020.06.04,20132,1109287,689282,109271,1927840
2020.06.05,20186,1105258,712437,110331,1928026
2020.06.06,45857,1123286,738998,111599,1973883
2020.06.07,21971,1130819,752848,112187,1995854
2020.06.08,16147,1137669,761736,112596,2012001
2020.06.09,18322,1143360,773696,113267,2030323
2020.06.10,22493,1149468,788969,114379,2052816
2020.06.11,19458,1148427,808556,115291,2072274
2020.06.12,22094,1160893,817337,116138,2094368
2020.06.13,28734,1163821,842329,116952,2123102
2020.06.14,27143,1177999,854659,117587,2150245
2020.06.15,16440,1178703,870080,117902,2166685
2020.06.16,21513,1178643,891068,118487,2188198
2020.06.17,27382,1193138,903176,119269,2215580
2020.06.18,27334,1203727,919108,120079,2242914
2020.06.19,32304,1223019,931355,120844,2275218
2020.06.20,28474,1225856,956316,121520,2303692
2020.06.21,38905,1245784,974946,122067,2342597
2020.06.22,21228,1260697,980836,122292,2363825
2020.06.23,32276,1270015,1003322,122764,2396101
2020.06.24,30399,1282480,1020499,123521,2426500
2020.06.25,48462,1309829,1040711,124422,2474962
2020.06.26,36822,1332344,1050529,126911,2511784
2020.06.27,59664,1374303,1069342,127803,2571448
2020.06.28,43969,1405391,1081793,128233,2615417
2020.06.29,34357,1427320,1093951,128503,2649774
2020.06.30,45911,1443976,1122678,129031,2695685
2020.07.01,48885,1470302,1143923,130345,2744570
2020.07.02,53167,1498317,1168436,130984,2797737
2020.07.03,58224,1532403,1191892,131666,2855961
2020.07.04,53162,1539182,1237767,132174,2909123
2020.07.05,39464,1555518,1260695,132374,2948587
2020.07.06,47440,1572048,1291215,132664,2996027
2020.07.07,59521,1595611,1326669,133268,3055548
2020.07.08,60882,1626369,1355898,134163,3116430
2020.07.09,58494,1646372,1393363,135189,3174924
2020.07.10,67162,1679417,1426645,136024,3242086
2020.07.11,69758,1713521,1461374,136949,3311844
2020.07.12,69430,1741831,1501866,137577,3381274
2020.07.13,54870,1780035,1518254,137577,3436152
